번호,작성자,댓글본문,좋아요수,작성시간,감정,유형,원본댓글(답글인경우)
1,"@대모산개발단","🫡  대모산 바이브 빌더스 멤버 모집 중
https://bit.ly/4e9fUD5

  대모산 전액환급 챌린지 신청 (6/30 시작)
  https://bit.ly/3GY2DRf

 대모산 개발단 에이전시 의뢰하기
  https://www.pluuug.com/form/kR60s6EO6h","4","10개월 전","긍정","최상위",""
2,"@soulmate0179","커서한테 여쭤보는 시대가 오브렀네","0","4개월 전","중립","최상위",""
3,"@gjmsgu","안녕하세요! 영상을 잘 보고 있습니다.
제가 지금 **직접 만든 앱(안드로이드/iOS 겸용)**을
**서버를 통해 실제 서비스로 배포**하려고 하는데요,
현재 두 가지 영상이 있어서 어떤 걸 따라해야 할지 헷갈립니다.

질문드리고 싶은 부분은 다음과 같습니다:

1. 이 영상에서 다루는 **서버 구축**이
   ?? “앱 데이터를 관리하고 로그인·회원정보·채팅·결제 등을 처리하는 백엔드 서버”를 의미하나요?
   아니면 단순히 “테스트용 로컬 서버”를 만드는 단계인가요?

2. 제가 만들 앱은 실제 서비스용이라
   AWS, Firebase, 혹은 Node.js 기반의 Express 서버 중
   어떤 구조를 참고해서 시작하는 게 좋은지 알려주실 수 있을까요?

3. 영상에 나오는 서버 구조가
   안드로이드와 iOS 양쪽에서 **API 통신으로 동일하게 사용 가능한 구조**인가요?

4. 마지막으로, *이 영상을 따라 하면*
   제가 만든 앱을 나중에 **플레이스토어나 앱스토어에 실제 배포 가능한 상태**까지 갈 수 있을까요?","1","5개월 전","긍정","최상위",""
4,"@대모산개발단","3시간동안 시도하신 열정 리스펙합니다 :)","4","10개월 전","중립","답글","@gjmsgu: 안녕하세요! 영상을 잘 보고 있습니다.
제가 지금 **직접 만든 앱(안"
5,"@TEST001-qu5cw","저도 원가 계산하는 초간단 앱 만들어야 하는데  대단하시네요","2","2개월 전","긍정","답글","@gjmsgu: 안녕하세요! 영상을 잘 보고 있습니다.
제가 지금 **직접 만든 앱(안"
6,"@gjmsgu","서버개발도 부탁드립니다 감사합니다","0","5개월 전","긍정","최상위",""
7,"@user-oh4wp2np9g","그렇게 치면 러버블로 10분이면 앱 만들음..
이렇게 만든건 최대가 프로토타입이고 어디서 뭐 앱만들었다고 하면 안됩니다
특히 기획자분들 이런거 따라 하고 자기도 개발해봤는데..  이러면서 개발자나 인프라담당한테 덤비면 안돼요!","5","6개월 전","부정","최상위",""
8,"@hemlama111","근데 이번에 재미나이 3.1 소넷 4.6나오면서 코딩과 리뷰도 AI한테 점점 넘어가고있음 ㅋㅋ 이제 주니어는 제꼈고 시니어자리도 넘보는 중 ㅠ
이제 코딩하는 AI를 관리하는 관리자 직책으로 넘어가지 않으면 도태됨 ㅠ 코딩의 전반적인 지식도 필요하겠지만 이젠 코딩을 도움 받아 코딩을 하는 시대는 끝난거같음","0","2개월 전(수정됨)","중립","답글","@user-oh4wp2np9g: 그렇게 치면 러버블로 10분이면 앱 만들음..
이렇게 만든건 최대가 프로"
9,"@bshfight","프로토타입 만들기 너무 좋죠","1","7개월 전","긍정","최상위",""
10,"@대모산개발단","많이 쓰는 프롬프트 전략입니다 ㅎㅎ","0","10개월 전","중립","답글","@bshfight: 프로토타입 만들기 너무 좋죠"
11,"@Okyah-pn4wn","Good job - AI Tools","1","7개월 전","중립","최상위",""
12,"@zzzzzz-ns9gr","좀 더 자세히 알려주셨으면 좋았을 텐데요.","1","8개월 전","중립","최상위",""
13,"@애드업-b7g","근데 db를 연결해뒀다가 사고칠까봐 못쓸거 같습니다. 리드온리로 쓰는게 좋을듯합니다.","0","9개월 전","부정","최상위",""
14,"@대모산개발단","네 사실 이건 사이드 프로젝트라 부담없이 쓴거긴 하죠
아직 유저가 없는 서비스라면 유용하게 쓸 것 같습니다!","1","9개월 전","중립","답글","@애드업-b7g: 근데 db를 연결해뒀다가 사고칠까봐 못쓸거 같습니다. 리드온리로 쓰는게 "
15,"@conel42","이런 제목을 만드는건 조회수 끌어야하니까 제목에 뭔가 되는거처럼 적는건 이해가 갑니다만, 이런 제목에 제발 속지 마세요. 정말 쓸수 있는 app은 뚝딱이 없습니다. 그리고 실제로 이렇게 가벼운 코드는 서버로 구축 안하고 고전적으로 php로 합니다. 가벼운 코드 일 수록 자유도를 높게 가저갈 가능성이 높기 때문입니다.","22","9개월 전(수정됨)","부정","최상위",""
16,"@ing5071","이런식의 조회수어그로충들이 너무많아지긴햇어요","5","9개월 전","중립","답글","@conel42: 이런 제목을 만드는건 조회수 끌어야하니까 제목에 뭔가 되는거처럼 적는건 "
17,"@gigunkim1543","Php..???","1","8개월 전","중립","답글","@conel42: 이런 제목을 만드는건 조회수 끌어야하니까 제목에 뭔가 되는거처럼 적는건 "
18,"@보통이아냐","엉? 뚝딱 만들어내고있는데요. 아무래도 창의력의 부재가 아니신지...","0","8개월 전","중립","답글","@conel42: 이런 제목을 만드는건 조회수 끌어야하니까 제목에 뭔가 되는거처럼 적는건 "
19,"@zzzzzz-ns9gr","여러분처럼 소규모 서비스 만드실거면 Php 도 괜찮은 언어입니다.
책한권 공부하면 기본 웹사이트는 만드 실 거예요.
인터넷 서비스 만드실거면 supabase공부하는 것보다 php 공부하는 것이 장기적으로 더 도움이 되실 겁니다.
요즘 ai로만 가지고 웹서비스 만들고 있는데 서비스는 어찌어찌 만들어가고 있지만 정말 남는 것이 별로 없는것 같아요. 물론 프로그램외에 새로운 것들을 많이 배우고 있기는 하지만 금방 변경되거나 사라질 지식들이어서 장기적으로는 영향가가 없을 것 같네요.
 Supabase도 ai코딩 아니면 사용 안하게 될 것 같아요. 그 시간에 프로그래밍 공부하는 것이 더 이득일 듯.","0","8개월 전(수정됨)","긍정","답글","@conel42: 이런 제목을 만드는건 조회수 끌어야하니까 제목에 뭔가 되는거처럼 적는건 "
